lagsnavn,orgnr,kommune,fylke,adresse,postnummer,poststed,nettstad,kjelde_type,kjelde_url,henta_dato
NM BYGGERE AS,925527874,VESTBY,Akershus,Sånergrenda 14,1550,HØLEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/925527874,2026-04-27
SIGURD HOLMBOE SØDRINGS OG HUSTRU ELSA SØDRINGS LEGAT FOR EVNERIK UNGDOM I ÅS OG VESTBY STI,977121760,VESTBY,Akershus,Vestbyveien 21,1543,VESTBY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/977121760,2026-04-27
SKOGLUND GRENDELAG,986313079,VESTBY,Akershus,Skoglundveien 6,1553,SON,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/986313079,2026-04-27
STIFTELSEN GARDER GRENDESENTER,986104623,VESTBY,Akershus,Garderveien 649,1544,VESTBY,https://www.gardarheim.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/986104623,2026-04-27
VESTBY BARNE- OG UNGDOMSKOR,926367056,VESTBY,Akershus,"Vestby Menighetshus, Hvitstenveien 320",1542,VESTBY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/926367056,2026-04-27
VESTBY BYGDEKVINNELAG,996415686,VESTBY,Akershus,Speiderveien 18,1543,VESTBY,https://bygdekvinnelaget.no/lokallag/vestby-bygdekvinnelag,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/996415686,2026-04-27
B&L HOLDING AS,919794615,ÅS,Akershus,Brekkeveien 101,1430,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/919794615,2026-04-27
BERRYTASTY UNGDOMSBEDRIFT,936665683,ÅS,Akershus,"Ås videregående skole, Gamle Hogstvetvei 9",1435,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936665683,2026-04-27
BOOSTSAFT UNGDOMSBEDRIFT,936655467,ÅS,Akershus,"Ås videregående skole, Gamle Hogstvetvei 9",1435,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936655467,2026-04-27
BRØNNERUD GRENDEHUS,999018947,ÅS,Akershus,"c/o Hanne K. Støkken, Gamle Mossevei 140",1433,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/999018947,2026-04-27
BULBUS HOLDING AS,922713022,ÅS,Akershus,"c/o Ivan Abrahamen, Feltspatveien 50",1435,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/922713022,2026-04-27
DEN ERITREISKE UNGDOMSFORENING I NORGE (ERINOR),932968959,ÅS,Akershus,Brekkeveien 23,1430,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/932968959,2026-04-27
FAU NORDBYTUN UNGDOMSSKOLE,929150228,ÅS,Akershus,Emily Kirkeruds vei 6,1407,VINTERBRO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/929150228,2026-04-27
FAU ÅS UNGDOMSSKOLE,933052869,ÅS,Akershus,"c/o Gyrd O. Gjevestad, Skogfaret 17",1430,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/933052869,2026-04-27
FOSSEKALLEN GRENDELAG,913711017,ÅS,Akershus,"c/o Geir Ulvik, Fossekallen 17",1407,VINTERBRO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/913711017,2026-04-27
GRENDELAG BVA1-2,932355817,ÅS,Akershus,"c/o Arne Husborn, Nylenda 12",1434,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/932355817,2026-04-27
GRENSEN KULTUR & GJESTEHUS KRISTIN INGEBORG HAGEN,915182526,ÅS,Akershus,Nordbyveien 121,1423,SKI,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/915182526,2026-04-27
GRENSEN PARK HAGELAG,919795409,ÅS,Akershus,"c/o Lisa Steinnes Rø, Grenseveien 80",1406,SKI,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/919795409,2026-04-27
GULLCRISP UNGDOMSBEDRIFT,936655483,ÅS,Akershus,"Ås videregående skole, Gamle Hogstvetvei 9",1435,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936655483,2026-04-27
HOLSTAD GRENDELAG,913558685,ÅS,Akershus,Haugerudveien 23,1434,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/913558685,2026-04-27
KILEHAGEN GRENDELAG,915386571,ÅS,Akershus,"c/o Kornelia Sofie Arnulf-Sharp, Kilehagen 10",1430,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/915386571,2026-04-27
L&L SANDVIK,920436641,ÅS,Akershus,Hellekroken 3,1434,ÅS,https://www.ritahsandvik.acnshop.eu,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/920436641,2026-04-27
L. HØVÅS TRADING,837351782,ÅS,Akershus,Hagen Johansens vei 2,1406,SKI,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/837351782,2026-04-27
"LEGE HILDE AKER, SPESIALIST I BARNE- OG UNGDOMSPSYKIATRI",912229513,ÅS,Akershus,Drøbakveien 147,1433,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/912229513,2026-04-27
LILLEBROR MC L B Grønslet,952018868,ÅS,Akershus,Nyveien 41,1433,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/952018868,2026-04-27
LUNABELT UNGDOMSBEDRIFT,936665144,ÅS,Akershus,"Ås videregående skole, Gamle Hogstvetvei 9",1435,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936665144,2026-04-27
MENTAL HELSE UNGDOM ÅS,916587074,ÅS,Akershus,Postboks 1264 NMBU,1432,ÅS,https://www.mentalhelseungdom.no/aas,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/916587074,2026-04-27
NATTVAKTEN UNGDOMSBEDRIFT,936655424,ÅS,Akershus,"Ås Vidregående skole, Gamle Hogstvetvei 9",1435,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936655424,2026-04-27
NÅLBÅL UNGDOMSBEDRIFT,936665047,ÅS,Akershus,"Ås videregående skole, Gamle Hogstvetvei 9",1435,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936665047,2026-04-27
NÆRVÆR UNGDOMSBEDRIFT,936655432,ÅS,Akershus,"Ås videregående skole, Gamle Hogstvetvei 9",1435,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936655432,2026-04-27
REBELL UNGDOMSBEDRIFT,936655513,ÅS,Akershus,"Ås videregående skole, Gamle Hogstvetvei 9",1435,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936655513,2026-04-27
REIRET UNGDOMSKLUBB,926159054,ÅS,Akershus,"c/o Tom Paulsen, Postboks 30",1429,VINTERBRO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/926159054,2026-04-27
RISTVEDT OG GRANDE HANDEL AS,931710249,ÅS,Akershus,"c/o Alti Vinterbro, Sjøskogenveien 7",1407,VINTERBRO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/931710249,2026-04-27
S&L BYGGSERVICE AS,927474824,ÅS,Akershus,Emily Kirkeruds vei 2,1407,VINTERBRO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/927474824,2026-04-27
SAMEIET TO-GRENDA II,918676627,ÅS,Akershus,"c/o Marius Claudi Reinung, Tømmerveien 1A",1407,VINTERBRO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/918676627,2026-04-27
SAMEIET ULLERUDÅSEN VEST,981104234,ÅS,Akershus,"v/Obos Eiendomsforvaltning AS, Haugenveien 13B",1423,SKI,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/981104234,2026-04-27
STJERNEHÅP UNGDOMSBEDRIFT,936664970,ÅS,Akershus,"Ås videregående skole, Gamle Hogstvetvei 9",1435,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936664970,2026-04-27
STUDENTER UTEN GRENSER ÅS,920715281,ÅS,Akershus,Nedre Pentagonvei 28,1430,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/920715281,2026-04-27
U HOLDING AS,931261614,ÅS,Akershus,Bamseveien 3,1407,VINTERBRO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/931261614,2026-04-27
UMID UIGUR BARNE- OG UNGDOMSFORENING,923824065,ÅS,Akershus,Solfallsveien 53,1435,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/923824065,2026-04-27
VARME HJERTER UNGDOMSBEDRIFT,936665756,ÅS,Akershus,"Ås videregående skole, Gamle Hogstvetvei 9",1435,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936665756,2026-04-27
"VEILEDNING OG TERAPI,L-A LEITHE",920155103,ÅS,Akershus,Rombekkveien 10,1407,VINTERBRO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/920155103,2026-04-27
YOGAHAGENHARESTUA KINE ULLA ORHEIM,994424343,ÅS,Akershus,Kongeveien 120,1407,VINTERBRO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/994424343,2026-04-27
ÅS BARNE- OG UNGDOMSKANTORI,998554209,ÅS,Akershus,Sagaveien 3,1430,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/998554209,2026-04-27
ÅS BYGDEKVINNELAG,917065098,ÅS,Akershus,"c/o Bjørg R.H. Sæther, Kjærnesveien 89",1407,VINTERBRO,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/917065098,2026-04-27
ØVRE HELLEKROKEN GRENDELAG,998544211,ÅS,Akershus,Hellekroken 7,1434,ÅS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/998544211,2026-04-27
A/L Svingen Borettslag,948033917,DRAMMEN,Buskerud,Nedre Torggate 5/7,3015,DRAMMEN,https://www.nbbo.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/948033917,2026-04-27
"ADVOKATFIRMA GRANDE, SYVERTSEN & CO AS",911883562,DRAMMEN,Buskerud,Nedre Storgate 8,3015,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/911883562,2026-04-27
AERIS MEDIA UNGDOMSBEDRIFT,936947271,DRAMMEN,Buskerud,"Drammen videregående skole, Danvikgata 25",3045,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936947271,2026-04-27
AKADEMIET UNGDOMSSKOLE DRAMMEN AS,913439694,DRAMMEN,Buskerud,Skogliveien 4B,3047,DRAMMEN,https://www.akademiet.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/913439694,2026-04-27
AKADEMIET UNGDOMSSKOLE KONGSBERG AS,937380216,DRAMMEN,Buskerud,"c/o Bit for Bit AS, Landfalløya 26",3023,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/937380216,2026-04-27
AKTIV UNGDOM STI,985386587,DRAMMEN,Buskerud,Tollbugata 14,3044,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/985386587,2026-04-27
AMARA LOUNGEWEAR UNGDOMSBEDRIFT,936947077,DRAMMEN,Buskerud,"Drammen videregående skole, Danvikgata 25",3045,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936947077,2026-04-27
ANOREXIA-BULIMIA FORENINGEN I BUSKERUD,913412400,DRAMMEN,Buskerud,"c/o Cathe Wiksén Freilem, Grønland 42",3045,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/913412400,2026-04-27
ASDROTRYKK UNGDOMSBEDRIFT,936221351,DRAMMEN,Buskerud,"Åssiden videregående skole, Betzy Kjelsbergs vei 267",3028,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936221351,2026-04-27
ASSELAM BARNA OG UNGDOM FORENING,932206358,DRAMMEN,Buskerud,Rundtom 2,3055,KROKSTADELVA,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/932206358,2026-04-27
BAUTA UNGDOMSBEDRIFT,936734898,DRAMMEN,Buskerud,"Drammen videregående skole, Danvikgata 25",3045,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936734898,2026-04-27
BRAGERNES KIRKES JENTE OG UNGDOMSKOR,895067962,DRAMMEN,Buskerud,Kirkegata 7,3016,DRAMMEN,https://www.drammen.kirken.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/895067962,2026-04-27
BUL BYGG AS,918774378,DRAMMEN,Buskerud,"c/o Feim Kenaliev, Trollstien 6U",3034,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/918774378,2026-04-27
BULAJIC FITNESS,935165520,DRAMMEN,Buskerud,Haftornveien 50,3053,STEINBERG,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/935165520,2026-04-27
BULAND MAGFIELD VVS,935895774,DRAMMEN,Buskerud,Kaptein Finnes gate 6,3018,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/935895774,2026-04-27
BULK PRODUCT CARRIER SA,983396399,DRAMMEN,Buskerud,,3022,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/983396399,2026-04-27
BULK PRODUCT CARRIER SA,983396305,DRAMMEN,Buskerud,"v/Per Ingar Hagen, Alex Kiellandsvei 1",3022,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/983396305,2026-04-27
BUSKERUD SOSIALISTISK UNGDOM,971308230,DRAMMEN,Buskerud,Fayegata 23,3011,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/971308230,2026-04-27
BUSKERUD UNGDOMSFORENING,989716107,DRAMMEN,Buskerud,Postboks 37,3051,MJØNDALEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/989716107,2026-04-27
BUSKERUD UNGDOMSKOR,911583704,DRAMMEN,Buskerud,Hotvetveien 120,3023,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/911583704,2026-04-27
BYGDØY FYSIOTERAPI TINA ELISABETH JACOBSEN,995705915,DRAMMEN,Buskerud,Brandtenborggata 15B,3012,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/995705915,2026-04-27
CLEARSIP UNGDOMSBEDRIFT,936927998,DRAMMEN,Buskerud,"Drammen Videregående skole, Danvikgata 25",3045,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936927998,2026-04-27
CLUTCH IT UNGDOMSBEDRIFT,937239432,DRAMMEN,Buskerud,"Åssiden Vidregående Skole, Betzy Kjelsbergs vei 267",3028,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/937239432,2026-04-27
DJ LEO L-E ØSTERUD,924484276,DRAMMEN,Buskerud,Øllinga 11,3057,SOLBERGELVA,https://dj-leo.osterud.name,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/924484276,2026-04-27
DM UNGDOM,995697475,DRAMMEN,Buskerud,Fjellsveien 6-10,3035,DRAMMEN,https://www.minhaj.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/995697475,2026-04-27
DRAMMEN KOMMUNALE VANN- OG VEIARBEIDERES BYGGELAG BRL,991112596,DRAMMEN,Buskerud,Nedre Torggate 5,3015,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/991112596,2026-04-27
EASYLOCK UNGDOMSBEDRIFT,937009186,DRAMMEN,Buskerud,"Drammen Videregående skole, Danvikgata 25",3045,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/937009186,2026-04-27
ECOKIT UNGDOMSBEDRIFT,936334482,DRAMMEN,Buskerud,"Akademiet videregående skole, Skogliveien 4C",3047,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936334482,2026-04-27
EKNES UNGDOMSSKOLE SOSIALKOMITE,919881186,DRAMMEN,Buskerud,Gamle Riksvei 246,3055,KROKSTADELVA,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/919881186,2026-04-27
ESSENTIALLY U - ULRIKA OLSSON,924712120,DRAMMEN,Buskerud,Øvre Eikervei 96C,3048,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/924712120,2026-04-27
FAU EKNES UNGDOMSSKOLE,919152761,DRAMMEN,Buskerud,"c/o Hege Elisabeth Oulie, Furutoppen 10",3055,KROKSTADELVA,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/919152761,2026-04-27
FAU VEIAVANGEN UNGDOMSSKOLE,821733782,DRAMMEN,Buskerud,Løkkeveien 2,3050,MJØNDALEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/821733782,2026-04-27
FLERKULTURELL UNGDOMSSENTER I NORGE,914375894,DRAMMEN,Buskerud,Neumanns gate 17,3044,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/914375894,2026-04-27
FORELDRERÅDETS ARBEIDSUTVALG VED AKADEMIET UNGDOMSSKOLE DRAMMEN,936698638,DRAMMEN,Buskerud,Skogliveien 4B,3047,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936698638,2026-04-27
FORENINGEN BARN OG UNGDOM MOT NARKOTIKA,997799712,DRAMMEN,Buskerud,Rådhusgata 27,3015,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/997799712,2026-04-27
FORENINGEN DRAMMEN BARNE- OG UNGDOMSTEATER,919934727,DRAMMEN,Buskerud,"c/o Anette Flittig, Onshuusveien 7",3045,DRAMMEN,https://www.dbuteater.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/919934727,2026-04-27
FORENINGEN YTTERKOLLEN GRENDEHUS,916883366,DRAMMEN,Buskerud,Drammensveien 203,3050,MJØNDALEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/916883366,2026-04-27
FREEFAIRWAY UNGDOMSBEDRIFT,936638201,DRAMMEN,Buskerud,"Akademiet VGS Drammen, Skogliveien 4",3047,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936638201,2026-04-27
FREEFRUITS UNGDOMSBEDRIFT,936333745,DRAMMEN,Buskerud,"Akademiet VGS Drammen, Skogliveien 4C",3047,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936333745,2026-04-27
FREMTIDENS UNGDOM,987825944,DRAMMEN,Buskerud,Christian Bloms gate 10,3041,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/987825944,2026-04-27
GLADE UNGDOMS LIVS LAIVERE,936086594,DRAMMEN,Buskerud,Rebbansbakken 6,3018,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936086594,2026-04-27
"GRAND CHAMPAGNE, DRAMMEN",919194634,DRAMMEN,Buskerud,"c/o Jan Sundby Ekeberg, Engene 83A",3011,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/919194634,2026-04-27
GRANDE AAKERMANN STUDIO,934356934,DRAMMEN,Buskerud,Skogliveien 123,3047,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/934356934,2026-04-27
GRANDE ART & DESIGN MARITIM,924593172,DRAMMEN,Buskerud,Gamle Riksvei 128,3057,SOLBERGELVA,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/924593172,2026-04-27
GRENI GROUP,922794421,DRAMMEN,Buskerud,Verksveien 4R,3031,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/922794421,2026-04-27
GRINDENE BORETTSLAG,960557018,DRAMMEN,Buskerud,"c/o Boligbyggelaget Usbl, Nedre Storgate 15",3015,DRAMMEN,https://www.usbl.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/960557018,2026-04-27
HAGEGULL UNGDOMSBEDRIFT,936160220,DRAMMEN,Buskerud,"Drammen videregående skole, Danvikgata 25",3045,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936160220,2026-04-27
"HELSE, TRENING OG ERNÆRING, SONDRE L. SØRSDAL",932138255,DRAMMEN,Buskerud,Øvre Storgate 134,3018,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/932138255,2026-04-27
HUSETS HJELPERE UNGDOMSBEDRIFT,936382754,DRAMMEN,Buskerud,"Åssiden videregående skole, Betzy Kjelsbergs vei 267",3028,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936382754,2026-04-27
IN-U-DOM AI,931667157,DRAMMEN,Buskerud,Hamborggata 8,3018,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/931667157,2026-04-27
INNSIKT UNGDOMSBEDRIFT,936934293,DRAMMEN,Buskerud,"Drammen Videregående skole, Danvikgata 25",3045,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936934293,2026-04-27
ISOBEATS UNGDOMSBEDRIFT,937248091,DRAMMEN,Buskerud,"Drammen videregående skole, Danvikgata 25",3045,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/937248091,2026-04-27
KAFFIKOS UNGDOMSBEDRIFT,936189954,DRAMMEN,Buskerud,"Akademiet vgs. Drammen, Skogliveien 4C",3047,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936189954,2026-04-27
KAMPSHOT UNGDOMSBEDRIFT,937288794,DRAMMEN,Buskerud,"Åssiden videregående skole, Betzy Kjelsbergs vei 267",3028,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/937288794,2026-04-27
KARI ULLEBERG GLASS AS,984080654,DRAMMEN,Buskerud,Grønland 46,3045,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/984080654,2026-04-27
KICKSTARTMEDIA UNGDOMSBEDRIFT,936207103,DRAMMEN,Buskerud,"Åssiden videregående skole, Betzy Kjelsbergs vei 267",3028,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936207103,2026-04-27
KILLINGRUD UNGDOMSSKOLE TRIVSELSKOMITÉ,920473806,DRAMMEN,Buskerud,Killingrudalleen 12,3057,SOLBERGELVA,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/920473806,2026-04-27
KLASSESJAPPA UNGDOMSBEDRIFT,936132723,DRAMMEN,Buskerud,"Drammen Videregående Skole, Danvikgata 25",3045,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936132723,2026-04-27
KOMMER'U UNGDOMSKLUBB,982314321,DRAMMEN,Buskerud,"v/ Tormod Lystrup, Mårstien 8",3033,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/982314321,2026-04-27
KONNERUD BARNE- OG UNGDOMSTEATER,914526353,DRAMMEN,Buskerud,"c/o Anne Merete Andreassen, Minkstien 34",3033,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/914526353,2026-04-27
KRISTIN M. L. GJELSNES,934124588,DRAMMEN,Buskerud,Elgveien 13,3039,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/934124588,2026-04-27
L ASK-HENRIKSEN,921783957,DRAMMEN,Buskerud,Heiaterrassen 2C,3018,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/921783957,2026-04-27
L BROTUN RØRSERVICE,968590162,DRAMMEN,Buskerud,Eikveien 10C,3060,SVELVIK,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/968590162,2026-04-27
L H HOLDING AS,839189702,DRAMMEN,Buskerud,Øvre Torggate 4,3017,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/839189702,2026-04-27
L I L L A R T LILLA KATA FARKAS,913302168,DRAMMEN,Buskerud,Blektjernveien 17,3046,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/913302168,2026-04-27
L MJELVA REHAB,832318612,DRAMMEN,Buskerud,Kollerudveien 81,3031,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/832318612,2026-04-27
L TANBERG,933109682,DRAMMEN,Buskerud,Ryums vei 64,3036,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/933109682,2026-04-27
L W MANAGEMENT Lasse Wiik,885500072,DRAMMEN,Buskerud,"H0201, Konnerudgata 24",3045,DRAMMEN,https://www.lassemann.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/885500072,2026-04-27
L&J HOLDING AS,912976831,DRAMMEN,Buskerud,Elveveien 7,3057,SOLBERGELVA,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/912976831,2026-04-27
L&T QUALITY IMPORTS AS,932294648,DRAMMEN,Buskerud,Tollbugata 27A,3044,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/932294648,2026-04-27
L. L. GRANERUDS PRODUKSJONER,930285714,DRAMMEN,Buskerud,Prøiserudbakken 82,3030,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/930285714,2026-04-27
LARS L LUDVIGSEN,979123426,DRAMMEN,Buskerud,Sankt Halvards gate 2B,3015,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/979123426,2026-04-27
LASSEBAKKEN GRENDEHUS,920615791,DRAMMEN,Buskerud,Lassebakken 2,3046,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/920615791,2026-04-27
LEGAT TIL FORDEL FOR BARN OG UNGDOM I DRAMMEN STI,984113641,DRAMMEN,Buskerud,"v/ BDO AS, Bragernes torg 2A",3017,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/984113641,2026-04-27
LEGAT TIL STØTTE FOR UNGDOM OG VOKSNE FRA DRAMMEN TIL VIDEREGÅENDE UTDANNELSE OG OPPLÆRING OG TIL VIDEREUTDANNING AV LÆRERE I GRUNNSKOLEN I DRAMMEN STI,984113676,DRAMMEN,Buskerud,"v/BDO AS, Bragernes torg 2A",3017,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/984113676,2026-04-27
LEIKARRINGEN NOREG BUL DRAMMEN,895242802,DRAMMEN,Buskerud,"c/o Per Røgeberg, Enga 5",3055,KROKSTADELVA,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/895242802,2026-04-27
LIKEVERD OG INKLUDERING FOR BARN OG UNGDOM,930556882,DRAMMEN,Buskerud,"c/o Shazieh Karimi, Gamle Riksvei 181",3058,SOLBERGMOEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/930556882,2026-04-27
LIV ULLAND STEVNING,980662748,DRAMMEN,Buskerud,Svelvikveien 513,3037,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/980662748,2026-04-27
LOGOVERKUB UNGDOMSEDRIFT,936779107,DRAMMEN,Buskerud,"Drammen vidregående skole, Danvikgata 25",3045,DRAMMEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936779107,2026-04-27
